59,Jacksonville State,CUSA,8,4,.667,6,2,.750,29.8,20.3,1.26,-5.41,,,,
60,Western Kentucky,CUSA,7,5,.583,5,3,.625,29.8,28.2,0.62,-2.46,,,,
61,Middle Tennessee State,CUSA,4,8,.333,3,5,.375,24.3,28.1,-4.94,-1.94,,,,
62,Louisiana Tech,CUSA,3,9,.250,2,6,.250,25.9,33.4,-10.28,-3.19,,,,
63,Sam Houston,CUSA,3,9,.250,2,6,.250,20.0,26.2,-9.37,-3.71,,,,
64,UTEP,CUSA,3,9,.250,2,6,.250,19.9,28.5,-10.22,-1.97,,,,
65,Florida International,CUSA,4,8,.333,1,7,.125,20.1,31.8,-14.41,-4.58,,,,
66,Notre Dame,Ind,9,3,.750,,,,39.1,16.6,15.80,1.80,16,13,9,
67,Army,Ind,5,6,.455,,,,20.8,22.0,-4.25,-3.25,,,,
68,Connecticut,Ind,3,9,.250,,,,19.1,29.8,-9.66,-2.41,,,,
69,Massachusetts,Ind,3,9,.250,,,,23.2,37.8,-11.41,-0.99,,,,
70,Miami (OH),MAC (East),10,2,.833,7,1,.875,27.3,16.3,2.12,-8.13,,,,
71,Ohio,MAC (East),9,3,.750,6,2,.750,22.9,15.4,-1.44,-8.94,,,,
72,Bowling Green,MAC (East),7,5,.583,5,3,.625,26.3,23.5,-1.17,-4.00,,,,
73,Buffalo,MAC (East),3,9,.250,3,5,.375,20.9,27.4,-11.63,-5.46,,,,
74,Akron,MAC (East),2,10,.167,1,7,.125,16.3,28.0,-18.34,-8.09,,,,
75,Kent State,MAC (East),1,11,.083,0,8,.000,14.7,34.6,-22.09,-6.51,,,,
76,Toledo,MAC (West),11,1,.917,8,0,1.000,35.3,20.4,4.33,-7.67,23,,23,
77,Northern Illinois,MAC (West),6,6,.500,5,3,.625,25.3,21.2,-7.45,-9.29,,,,
78,Eastern Michigan,MAC (West),6,6,.500,4,4,.500,20.3,24.0,-12.87,-9.79,,,,
79,Central Michigan,MAC (West),5,7,.417,3,5,.375,23.2,31.1,-12.82,-5.90,,,,
80,Ball State,MAC (West),4,8,.333,3,5,.375,18.3,24.4,-10.20,-4.95,,,,
81,Western Michigan,MAC (West),4,8,.333,3,5,.375,23.7,31.8,-10.62,-4.20,,,,
82,Nevada-Las Vegas,MWC,9,3,.750,6,2,.750,35.5,25.6,4.82,-4.35,,,,
83,Boise State,MWC,7,5,.583,6,2,.750,32.0,25.3,4.27,-1.32,,,,
84,San Jose State,MWC,7,5,.583,6,2,.750,33.3,25.8,2.58,-1.42,,,,
85,Air Force,MWC,8,4,.667,5,3,.625,27.6,17.9,2.59,-4.57,,,17,
86,Wyoming,MWC,8,4,.667,5,3,.625,26.1,22.9,0.75,-1.67,,,,
87,Fresno State,MWC,8,4,.667,4,4,.500,29.9,24.6,-1.88,-5.80,,,24,
88,Utah State,MWC,6,6,.500,4,4,.500,34.1,33.8,-3.81,-3.48,,,,
89,Colorado State,MWC,5,7,.417,3,5,.375,26.1,29.6,-6.93,-3.68,,,,
90,Hawaii,MWC,5,8,.385,3,5,.375,21.4,32.2,-10.29,-3.21,,,,
91,New Mexico,MWC,4,8,.333,2,6,.250,27.3,35.1,-9.18,-3.18,,,,
92,San Diego State,MWC,4,8,.333,2,6,.250,20.5,26.8,-8.40,-2.74,,,,
93,Nevada,MWC,2,10,.167,2,6,.250,17.3,33.4,-15.60,-3.18,,,,
94,Washington,Pac-12,13,0,1.000,10,0,1.000,37.7,23.6,18.30,5.61,3,10,3,
95,Oregon,Pac-12,11,2,.846,8,2,.800,44.2,17.3,19.16,3.09,5,15,5,
96,Arizona,Pac-12,9,3,.750,7,2,.778,34.3,20.8,12.65,1.48,14,,14,
97,Oregon State,Pac-12,8,4,.667,5,4,.556,33.8,21.5,10.98,3.56,21,18,10,
98,Utah,Pac-12,8,4,.667,5,4,.556,24.5,19.8,7.90,4.56,,14,10,
99,USC,Pac-12,7,5,.583,5,4,.556,41.8,34.9,8.39,5.14,,6,5,
100,UCLA,Pac-12,7,5,.583,4,5,.444,25.8,18.1,5.56,1.06,,,18,
